time|run_time|number of errors|number of sites checked|CE|RT|CT|UK|bad
Wed Feb 10 16:07:24 2016|1.33800005913|0|0|0|0|0|0|0|
Wed Feb 10 16:08:37 2016|1.18700003624|0|0|0|0|0|0|0|
Wed Feb 10 16:09:38 2016|1.10899996758|0|0|0|0|0|0|0|
Wed Feb 10 16:11:39 2016|1.24399995804|0|0|0|0|0|0|0|
Wed Feb 10 16:14:36 2016|1.21799993515|0|1|0|0|0|0|0|
Wed Feb 10 16:16:38 2016|1.43700003624|0|1|0|0|0|0|0|
Wed Feb 10 16:18:39 2016|1.19099998474|0|1|0|0|0|0|0|
Wed Feb 10 16:20:40 2016|1.20300006866|0|1|0|0|0|0|0|
Wed Feb 10 16:22:41 2016|1.21599984169|0|1|0|0|0|0|0|
Wed Feb 10 16:24:43 2016|1.72699999809|0|1|0|0|0|0|0|
Wed Feb 10 16:26:44 2016|1.1740000248|0|1|0|0|0|0|0|
Wed Feb 10 16:28:47 2016|1.132999897|0|1|0|0|0|0|0|
Wed Feb 10 16:30:48 2016|1.16600012779|0|1|0|0|0|0|0|
Wed Feb 10 16:32:49 2016|1.16499996185|0|1|0|0|0|0|0|
Wed Feb 10 16:34:51 2016|1.21499991417|0|1|0|0|0|0|0|
Wed Feb 10 16:36:52 2016|1.3109998703|0|1|0|0|0|0|0|
Wed Feb 10 16:38:53 2016|1.21900010109|0|1|0|0|0|0|0|
Wed Feb 10 16:40:54 2016|1.02700018883|0|1|0|0|0|0|0|
Wed Feb 10 16:42:56 2016|1.25600004196|0|1|0|0|0|0|0|
Wed Feb 10 16:44:57 2016|1.1740000248|0|1|0|0|0|0|0|
Wed Feb 10 16:46:58 2016|1.10099983215|0|1|0|0|0|0|0|
Wed Feb 10 16:48:59 2016|1.19799995422|0|1|0|0|0|0|0|
Wed Feb 10 16:51:00 2016|1.16600012779|0|1|0|0|0|0|0|
Wed Feb 10 16:53:01 2016|1.12400007248|0|1|0|0|0|0|0|
Wed Feb 10 16:55:03 2016|1.20199990273|0|1|0|0|0|0|0|
Wed Feb 10 16:57:04 2016|1.17100000381|0|1|0|0|0|0|0|
Wed Feb 10 16:59:05 2016|1.23399996758|0|1|0|0|0|0|0|
Wed Feb 10 17:01:06 2016|1.10899996758|0|1|0|0|0|0|0|
Wed Feb 10 17:03:08 2016|1.31299996376|0|1|0|0|0|0|0|
Wed Feb 10 17:05:09 2016|1.21500015259|0|1|0|0|0|0|0|
Wed Feb 10 17:07:10 2016|1.18300008774|0|1|0|0|0|0|0|
Wed Feb 10 17:09:11 2016|1.22000002861|0|1|0|0|0|0|0|
Wed Feb 10 17:11:13 2016|1.14700007439|0|1|0|0|0|0|0|
Wed Feb 10 17:13:14 2016|1.19499993324|0|1|0|0|0|0|0|
Wed Feb 10 17:15:15 2016|1.20799994469|0|1|0|0|0|0|0|
Wed Feb 10 17:17:21 2016|1.34000015259|0|1|0|0|0|0|0|
Wed Feb 10 17:19:26 2016|1.56900000572|0|1|0|0|0|0|0|
Wed Feb 10 17:21:29 2016|1.19600009918|0|1|0|0|0|0|0|
Wed Feb 10 17:23:34 2016|1.21700000763|0|1|0|0|0|0|0|
Wed Feb 10 17:25:41 2016|1.28999996185|0|1|0|0|0|0|0|
Wed Feb 10 17:27:43 2016|1.34699988365|0|1|0|0|0|0|0|
Wed Feb 10 17:29:44 2016|1.20899987221|0|1|0|0|0|0|0|
Wed Feb 10 17:31:45 2016|1.14800000191|0|1|0|0|0|0|0|
Wed Feb 10 17:33:46 2016|1.17100000381|0|1|0|0|0|0|0|
Wed Feb 10 17:35:47 2016|1.01600003242|0|1|0|0|0|0|0|
Wed Feb 10 17:37:49 2016|1.08200001717|0|1|0|0|0|0|0|
